RUNTIME	Iteracoes	Media movimentos	Media espera
164.35549879074097	314	75.5	8.0
159.86985421180725	311	74.0	6.0
152.79614663124084	292	75.0	7.0
152.5967309474945	289	72.5	7.0
152.30575847625732	290	72.0	7.0
152.84744310379028	292	76.0	6.0
154.57370400428772	296	71.0	7.0
RUNTIME	Iteracoes	Media movimentos	Media espera
160.93100357055664	309	67.0	6.0
163.5168981552124	318	69.5	7.0
153.56820583343506	293	74.0	8.0
169.51651167869568	332	71.5	8.0
181.25004386901855	358	75.5	8.0
168.45542216300964	329	76.0	7.0
160.2567653656006	311	71.5	7.0
177.70966148376465	359	69.0	7.0
160.93885684013367	309	76.5	8.0
170.61579537391663	332	75.0	8.0
155.19133257865906	299	75.5	7.0
159.10127639770508	309	70.0	7.0
198.74467635154724	407	77.0	8.0
160.39267802238464	307	75.0	7.0
208.72003531455994	435	77.0	9.0
166.76273775100708	324	78.0	8.0
163.11100840568542	312	74.5	7.0
350.5761625766754	812	73.5	8.0
166.13210463523865	322	72.0	8.0
175.9107973575592	345	77.0	8.0
191.89717292785645	389	76.0	9.0
168.67567324638367	326	82.0	8.0
190.79320788383484	383	74.0	8.0
167.78031492233276	328	72.0	8.0
151.9123830795288	286	75.0	8.0
194.60094165802002	399	76.0	7.5
156.8073766231537	303	72.5	8.0
204.5885169506073	418	75.0	9.0
152.14674139022827	290	73.5	6.0
177.38567423820496	350	74.0	8.0
174.18154549598694	340	72.0	8.0
163.59754943847656	317	76.0	7.0
171.92291045188904	334	77.0	7.5
164.30019569396973	320	73.0	8.0
193.97343182563782	399	70.0	8.0
161.01956415176392	314	68.0	7.5
164.46743249893188	319	76.0	8.0
176.7539508342743	347	73.5	9.0
156.14597272872925	296	73.0	8.0
163.94171285629272	320	78.0	7.5
158.69292497634888	306	76.0	8.0
156.94939589500427	297	78.0	8.0
165.92936158180237	319	71.0	9.0
156.9330382347107	302	71.5	8.0
163.50855922698975	314	74.0	8.0
161.6600489616394	310	74.5	9.0
167.96108770370483	326	75.0	8.0
163.14547300338745	314	76.0	8.0
233.66067719459534	508	73.0	7.0
158.34087371826172	303	70.0	8.0
161.35884022712708	312	73.0	7.0
179.9194474220276	348	79.5	10.0
161.47314977645874	311	74.5	7.0
154.61876273155212	300	72.0	7.0
176.4113118648529	346	75.5	8.0
157.98715114593506	304	72.0	8.0
173.51814484596252	336	75.0	9.0
178.38816595077515	349	70.5	8.5
162.3854682445526	315	72.5	7.0
161.09010314941406	307	73.0	9.0
170.09990215301514	332	78.0	8.0
176.8023281097412	350	77.0	8.0
170.48455357551575	330	72.5	8.0
165.80749940872192	322	75.0	7.0
190.75745224952698	383	73.0	9.0
190.5760781764984	387	69.0	8.0
160.17816185951233	309	77.0	7.0
178.4511821269989	351	76.0	9.0
165.141051530838	319	76.0	9.0
186.08689546585083	374	75.0	7.0
164.1190583705902	319	76.0	8.0
203.61164140701294	420	75.0	9.0
171.61944031715393	332	74.0	8.0
173.18011593818665	337	76.0	9.0
166.4675097465515	324	75.0	8.0
158.7996678352356	305	73.0	7.0
159.8627758026123	311	72.0	7.0
234.95641088485718	504	74.0	8.0
154.75784349441528	296	71.5	7.0
164.1961853504181	319	77.0	8.0
172.47326922416687	342	75.0	7.0
178.53297781944275	348	71.0	8.0
167.39484572410583	326	74.0	8.0
162.81722259521484	316	73.5	8.0
168.58145427703857	335	71.0	7.0
172.4350779056549	337	72.5	8.0
158.10772681236267	303	73.0	8.0
187.02786827087402	371	78.0	9.0
180.92328071594238	358	76.0	8.0
165.32862162590027	319	76.5	8.0
215.88634157180786	459	73.5	8.0
160.61078906059265	312	76.0	7.0
162.0852291584015	313	74.0	8.0
174.89230966567993	343	76.5	8.0
169.44559121131897	327	73.5	8.0
202.24166822433472	436	73.0	7.0
168.66421127319336	336	77.0	8.5
153.31876850128174	302	75.0	7.0
148.00217986106873	289	71.0	8.0
164.05778646469116	328	76.0	8.0
